raceId,Year,Race,Date,Finishers,City,State,Country,Continent,Type,Include,AgeBand,Net,Adjustment
805,2024,Boulderthon,2024-09-29,1320,Boulder,CO,,,,True,1,0,0
752,2023,Torino City Marathon,2023-11-05,1319,"Torino ,turin",TOR,,,,False,1,0,0
1080,2025,Utah Valley Marathon,2025-06-07,1318,Provo,UT,,,,True,1,492,300
145,2022,Tallinna Maraton,2022-09-10,1317,Tallinn,LÄÄ,,,,False,1,0,0
215,2024,Bayshore Marathon,2024-05-23,1308,Traverse City,MI,,,,True,1,0,0
159,2022,Auckland Marathon,2022-10-29,1300,Auckland,AUC,,,,False,1,0,0
1113,2025,Edmonton Marathon,2025-08-17,1294,Edmonton,AB,,,,True,5,0,0
82,2023,Rimi Riga Marathon,2023-05-06,1292,Riga,RIG,,,,False,1,0,0
796,2024,Kansas City Marathon,2024-10-19,1289,Kansas City,MO,,,,True,1,0,0
245,2022,Kiawah Island Marathon,2022-12-10,1276,Kiawah Island,SC,,,,True,1,0,0
91,2023,Cowtown Marathon,2023-02-25,1266,Fort Worth,TX,,,,True,1,0,0
403,2024,Sarens Edenvale Marathon,2024-03-03,1264,Edenvale,GAU,,,,False,1,0,0
290,2024,Myrtle Beach Marathon,2024-03-02,1263,Myrtle Beach,SC,,,,True,1,0,0
242,2024,St. Louis Marathon,2024-04-27,1253,St Louis,MO,,,,True,1,0,0
110,2023,Surf City Marathon,2023-02-04,1248,Huntington Beach,CA,,,,True,1,0,0
187,2024,Kentucky Derby Festival Marathon,2024-04-27,1248,Louisville,KY,,,,True,1,0,0
811,2024,Richmond Runfest,2024-09-15,1248,Richmond,LON,,,,False,5,0,0
278,2024,Ogden Marathon,2024-05-18,1247,Ogden,UT,,,,True,1,0,0
1133,2025,Air Force Marathon,2025-09-20,1246,Dayton,OH,,,,True,1,0,0
364,2022,Seattle Marathon,2022-11-26,1245,Seattle,WA,,,,True,1,0,0
202,2023,Cleveland Marathon,2023-05-20,1241,Cleveland,OH,,,,True,1,0,0
158,2023,Kansas City Marathon,2023-10-21,1232,Kansas City,MO,,,,True,1,0,0
179,2023,Great Ocean Road Running Festival,2023-05-20,1225,Lorne,VI,,,,False,1,0,0
283,2024,Santa Rosa Marathon & Half Marathon,2024-08-24,1224,Santa Rosa,CA,,,,True,1,0,0
191,2022,ADNOC Abu Dhabi Marathon,2022-12-17,1215,Abu Dahbi,ABU,,,,False,1,0,0
1064,2025,Buffalo Marathon,2025-05-25,1214,Buffalo,NY,,,,True,5,0,0
197,2022,Ljubljanski Maraton,2022-10-22,1213,Ljubljana,LCEN,,,,False,1,0,0
305,2024,Utah Valley Marathon,2024-05-31,1212,Provo,UT,,,,True,1,0,0
951,2025,Louisiana Marathon,2025-01-19,1201,Baton Rouge,LA,,,,True,1,0,0
190,2023,RnR Manila,2023-11-26,1198,Manila,CEN,,,,False,1,0,0
1022,2025,Glass City Marathon,2025-04-27,1198,Toledo,OH,,,,True,1,0,0
250,2024,Buffalo Marathon,2024-05-25,1193,Buffalo,NY,,,,True,5,0,0
208,2022,Royal Victoria Marathon,2022-10-09,1189,"Victoria, B.C",BC,,,,True,5,0,0
922,2024,Rocket City Marathon,2024-12-14,1184,Huntsville,AL,,,,True,1,0,0
948,2025,Carlsbad Marathon,2025-01-19,1180,Carlsbad,CA,,,,True,1,0,0
1161,2025,REVEL Big Cottonwood,2025-09-13,1180,Salt Lake City,UT,,,,True,1,1596,600
427,2024,Cape Gate Vaal Marathon,2024-03-03,1179,Cape Gate Vaal Marathon,GAU,,,,False,1,0,0
265,2023,Glass City Marathon,2023-04-22,1178,Toledo,OH,,,,True,1,0,0
1150,2025,Maine Marathon,2025-10-05,1176,Portland,ME,,,,True,1,0,0
200,2022,Hartford Marathon,2022-10-08,1174,Hartford,CT,,,,True,1,0,0
327,2024,Marathon de Marrakech & Half Marathon,2024-01-28,1170,Marrakech,0,,,,False,1,0,0
978,2025,Myrtle Beach Marathon,2025-03-01,1167,Myrtle Beach,SC,,,,True,1,0,0
1172,2025,Cape Cod Marathon,2025-10-12,1164,Falmouth,MA,,,,True,1,0,0
508,2023,Vermont City Marathon,2023-05-28,1163,Burlington,VT,,,,True,1,0,0
1178,2025,Grand Rapids Marathon,2025-10-19,1162,Grand Rapids,MI,,,,True,1,0,0
189,2024,Great Limerick Run,2024-05-04,1161,Limerick,LIM,,,,False,1,0,0
264,2024,Missoula Marathon,2024-06-29,1160,Missoula,MT,,,,True,1,0,0
